Project Name	Font Name	Why did you pick this font for this project?
Team Awesome 1	Lato	Didn't have a lot to go on from your name, so I just picked a pretty standard and nice font
Team Awesome 1	BenchNine 1	Loooked "awesome" 
Team Awesome 1	Oswald	The logo feels like it should be big and bold to match the feel of the project
Team Awesome 1	Hind	Project is actually called "Plan-it Express." Team Awesome 1 is team name.  Their project is about providing reliability, but also want to communicate that it's easy to use so I picked a font with a slightly thicker weight for reliability, and sans-serif for easy.
Team Awesome 1	Oxygen	The app seems like it's promoting a fast efficient feel and I wanted something that was simple.
Team Awesome 2	Lato	randomly because the page wouldn't load TT
Team Awesome 2	Lobster 2	It is scripted yet neat, so I felt it captured the spirit of both music (free spirited, artsy), and education / classroom setting. As the website is meant for teachers and students to keep track of their music portfolios, it seemed appropriate. 
Team Awesome 2	Old decorated fonts, "Baskerville"	Since this is directed towards teachers, a formal text could be used. With some musical keys to accentuate some characters. SO i think in this case a custom font would be nice.
Team Awesome 2	Raleway	The "w" in awesome looks super neat in this 
Team Awesome 2	Overlock	This application is built to help professors and students keep track of different pieces of music for both teaching and learning.  Each piece of music is represented by a short title, so the font needs to look good as a headline.  Overlock is nice because it has rounded glyph shapes, leading to a flowing look which is specifically best for titles and short text -- like song names, for instance.
Team Awesome 2	Architects daughter	Seemed musical.
Team Awesome 2	Droid Sans	It looks like an older font which would fit well with the project's theme. The project deals with listening to classical music compositions, and so a more "archaic" looking font is appropriate
Team Awesome 2	Rock Salt	The UI should remove the barrier between students and professors so as to encourage collaboration -- a more fanciful handwritten font goes to that end.
Team Awesome 2	Domine	This font is bold so it stands out well for a logo, but there is also something whimsical about it, which reminds me of music. 
Team Awesome 2	Lobster	streamlined superhero-y font, seems pretty awesome (the wiki wasn't loading so I had to base my choice off of the team name)
Team Goat	Playfair Display	readable, modern, yet still a little fun for your fun team name
Team Goat	Roboto Slab	Looks professional but also modern--ties into the fact they are trying to teach English through articles but use technology as a guide
Team Goat	Lora	Serif, because their team deals with books and information. Gives a sense of being trustworthy, reliable
Team Goat	PT Sans	The project is about learning english from articles, so you want an easily readable font for people learning the language (and easily recognizable), so a sans-serif font seems to make sense.
Team Goat	PT Sans	Relaxed. maybe a serif would be better.
TeamBuildr	Francois One	The font seemed bold, which fit into the theme of this project.
TeamBuildr	Source Sans Pro	The font is a sans-serif with simple/clean appearance. The project is going to be used by people who need to sort tasks and clearly have things delineated - a clean font would complement that.
TeamBuildr	Source Sans Pro	It's a serif font that is not too decorative, and relatively serious-looking, as befitting the business-esque audience and tasks.
TeamBuildr	Montserrat	I looked for a sans-serif font that would reflect the playfulness of the name (no 'e' in builder) and also reflect the sports theme of the project. Thinking about sports, I wanted a sturdier font that is weighty. 
TeamBuildr	Bevan	At first I was going to go for Tumblr's font (given the name similarity), but then opted for something for sports-related. I opted for a thicker, more serious looking font, and ended up choosing Bevan. 
TeamBuildr	Droid Serif 	This project is geared towards the college application market. The serif font conveys a sense of stature and credibility that would benefit this type of application well. 
TeamBuildr	Muli	The font is modern and stylish which complements the entertainment-oriented scope of the project
TeamBuildr	Paytone One	Not too serious, also makes the R stand out. 
TeamBuildr	Slabo	It looks modern but also official and looks very clean (The wiki page wouldn't load on my computer so I couldn't really get a feel for the project, but I'm just judging by the name)
TeamBuildr	Anton	It's bold, as a sports team should be
TeamBuildr	Oswald	It is a great font without serifs that is sleek with equal character with a a high value and medium boldface.
TeamBuildr	Droid Sans	I wanted to pick a font resonanting with the sports culture which is what TeamBuildr is about.
TeamBuildr	Lobster	it has a playful feel to it; and I can see it fitting with their interface well.
TeamBuildr	Titillium Web	The font is angular and gives a strong kind of feeling, which might be something that the project is going for.
TeamBuildr	Special Elite	Gritty aspect has association with sports. 
TeamBuildr	Lora	Stock trading platforms generally are used by people who are very work-oriented and favor traditional/dry appearance. A serif font suits this best
TeamBuildr	Graduate	It looks very "letterman jacket"-y. Only font i saw that conveyed any type of sportiness.
TeamBuildr	Archivo Narrow	i dont know
TeamBuildr	Open Sans	The font is easy to read
The Blobs	Francois One	It's more of an artsy project, so I thought this font name fit well. 
The Blobs	Chewy	Looked thick and blobby and fun/artsy (matching singing)
The Blobs	Titan One	It is very big and blobby so it fits with the name blobs 
The Blobs	Architects Daughter	"The Blobs" makes me thing of something very informal
The Blobs	Luckiest Guy	It has a nice heavy weight, which makes it Blob-like so it fits the title. It also seems somewhat playful and friendly, which seems like good qualities for something that listens to you sing.
The Blobs	Poiret One	It is playful and looks musical.  The name of this project is playful and the project relates to music.
The Blobs	Lobster	Stylish, like pop singers. Smooth, like a singer's voice. Showy, like singing TV shows like The Voice or American Idol. But isn't an eyesore, and fits well with other tech fonts (e.g. Foodler)
The Blobs	Playfair Display	Because your project deals with the fine arts, your logo should convey class and sophistication. A serif font is therefore desirable.
The Code Doctors	Vollkorn	This is an academic project and I think it needs a serious, weighty font to convey that it's Serious Business. Also, its essence demands a serif font.
The Code Doctors	Dhurjati	Edgy, readable but with a modern twist to it. It's reminiscent of a terminal-like font or an action movie. 
The Code Doctors	Lato	Lato has a high value about it that communicates a message of formality 
The Code Doctors	Slabo 27px	It is somewhat more formal, as the project description suggests that the target group will be professors.  However, it still has the simplicity that we are looking for.
The Code Doctors	Lobster	It's classic, with an almost vintage feel, which jives with the word 'Doctors' and conveys a sense of respect/authority
The Code Doctors	Oswald	The Code Doctors is innovative so I picked a san-serif font. 
The Code Doctors	Lora	The  project is aimed at the scientific community, so using this font gives a classic feel that is related to how scientific literature (think latex)
The Code Doctors	Caudex	This font looks nice and formal, but is not too classic-looking, and not too casual-looking (since the project is with wet labs).
The Loung	Covered By Your Grace	The project is about street performers, which would indicate a more relaxed and unconventional font.
The Lounge	Poiret One	They used Lobster in their prototypes but I think a more refined font like Poiret One can add some legitimacy to street performer art.
The Lounge	Pacifico	Want something that is playful since it is a social network
The Struggle Bus	Merryweather	The space between the S and the t and between the r and the u need to be big enough in order for it to be readable (i.e. we want no kerning). These font looks very nice also.
The Struggle Bus	Merriweather	It's a serif font that improves readability and has good kernings. I may also have some subjective preference to it (I like how it looks)
The Struggle Bus	Lobster	Once again this is a project with artistic undertones (photography), and lobster maintains that tone while remaining legible and readable.
The Van Helsing's	Lora	With all the serifs it looks formal, suitable in an educational situation and resembling the fonts used on textbooks. It's also very easy to read.
The Van Helsing's	PT Sans Narrow	The project is designed for teachers and students, so using a narrow font like PT Sans Narrow seemed to fit the academic nature of this project well.
The Van Helsing's	Coming Soon	It looks like if a teach had written Tally on the board to take a count of student responses.
The Van Helsing's	Oswald	The Wiki won't open for me, so I'm inferring from the name that we are looking for something intense-feeling, with thick verticals. 
The Van Helsing's	Josefin Sans	can be kind of light and playful
The Van Helsing's	Dancing Script 	The font looks very fun and seems like it will go well with the classroom/student idea. 
The Van Helsing's	Signika	simple/easy to read, reminds me of the problem statement since it suggests that your app is an easy way to assess student performance
Trendsetters	Times (or something formal)	Chess is a pretty old and respectable game, so some sort of Times or decorated font like "The Times" uses would work well, i'd think.
Trendsetters	Oswald	I like the value it has; i think bolding the "setters" could be a powerful effect.
Trendsetters	Bree Serif	Looks kind of old-timey/classical, and chess is a very classic game.
Trendsettr	Lato	Chose randomly because page wouldn't load TT
Wei + babes	Lobster	It's very babe. 
Wei + babes	Arial	They are creating a mobile app to help Uber drivers. The mobile screen is narrow and the font should be easily readable and stand out well among surrounding components. Going with a respected sans serif font would be a good choice.
Wei + babes	Source Sans Pro	It's modern-looking, fitting the modern style of the Uber app
Wei + babes	Source Sans Pro	It's modern-looking, fitting the modern style of the Uber app
Wei + babes	Cinzel	It looks nice
Wei + babes	Shadows Into Light	The name is either silly or cute, depending on how you see it, so I chose a font that's on the approachable and non-serious side.
Wei + Babes	Amatic SC	I think this font is simple, yet gives a sense of seriousness (no frills) - a match for an application that has a wide target user base in terms of technological aptitude and wants to make the most money
Wei + babes	Pacifico	It seems like the font should be connected to flow since they have an Uber app.
Wei + babes	Shadows Into Light	You had a cute name, it seems like it should be displayed in a cute font (even if it's not the most readable).
Wei + babes	Alegreya Sans	Close to Sans Serif but more bold and weighted so can be prominent and more likely to be used
wei+babes	wallpoet	techy looking
Wei+babes	Lora	Serif - because the Uber logo uses serif 
YungUI	Pablo Impallari	The project deals with road stops and such, and this font looks kind of like a Diner logo.
YungUI	Bangers	I think this is a playful font that is still readable. The idea is based on road trips which are supposed to be fun, so font attempts to give off this feeling.
YungUI	Lato	Their project is a road-tripping app, so I tried to pick something that looked modern (so a sans-serif font) and readable from a distance
YungUI	Oswald	Their project is about organization and planning. This is a serious activity that involves the well-being of travelers who use the app. Oswald font displayed the name of the project with straight lines and even spaces, which alludes to organization - which represents the app accordingly. The even fonts displayed seriousness, which appeals to a user's willingness to use the app for his or her travel planning. 
